OAuth,OAuth
OpenID,OpenID
SSO,单点登录
SAML,SAML
JWT,JWT令牌
refresh-token,刷新令牌
bearer-token,持有者令牌
basic-auth,基本认证
digest-auth,摘要认证
multifactor,多因素
two-factor,两因素
biometric,生物识别
RBAC,基于角色
ABAC,基于属性
privilege,特权
claim,声明
principal,主体
credential,凭证
identity,身份
CSRF,跨站请求伪造
SQL-injection,SQL注入
command-injection,命令注入
code-injection,代码注入
path-traversal,路径遍历
DDoS,分布式拒绝
man-in-the-middle,中间人攻击
session-hijacking,会话劫持
replay-attack,重放攻击
phishing,钓鱼
spoofing,欺骗
buffer-overflow,缓冲区溢出
privilege-escalation,权限提升
zero-day,零日漏洞
malware,恶意软件
ransomware,勒索软件
backdoor,后门
rootkit,根工具包
encryption,加密
decryption,解密
hashing,哈希
salting,加盐
TLS,传输层安全
SSL,安全套接层
certificate,证书
public-key,公钥
private-key,私钥
symmetric,对称
asymmetric,非对称
AES,AES加密
RSA,RSA算法
SHA,SHA哈希
HMAC,HMAC
signature,签名
sanitization,净化
validation,验证
whitelist,白名单
blacklist,黑名单
WAF,Web应用防火墙
intrusion-detection,入侵检测
security-audit,安全审计
penetration-testing,渗透测试
vulnerability-scan,漏洞扫描
vulnerability,漏洞
exploit,利用
threat,威胁
attack-surface,攻击面
security-by-design,安全设计
zero-trust,零信任
compliance,合规
GDPR,通用数据保护
PCI-DSS,PCI数据安全
HIPAA,健康保险法
data-breach,数据泄露
incident-response,事件响应
forensics,取证
hardening,加固
patching,补丁
disclosure,披露
bug-bounty,漏洞赏金
